cik_str,ticker,title,SIC_code
884394,SPY,SPDR S&P 500 ETF TRUST,
1067839,QQQ,"INVESCO QQQ TRUST, SERIES 1",
1161167,AIQUY,L AIR LIQUIDE SA /FI,
948401,CFRUY,COMPAGNIE FINANCIERE RICHEMONT AG /FI,
1443276,TOELY,Tokyo Electron LTD,
895564,BAESY,BAE SYSTEMS PLC /FI/,
1106215,KDDIY,KDDI CORP,
1442651,SHECY,"Shin-Etsu Chemical Co., Ltd.",
1535628,CAIXY,CaixaBank/ADR,
1359519,SVNDY,SEVEN & I HOLDINGS CO LTD,
861967,WTKWY,WOLTERS KLUWER N V /FI,
1700171,ANYYY,Aena S.A./ADR,
1041130,DIA,SPDR DOW JONES INDUSTRIAL AVERAGE ETF TRUST,
1446519,DKILY,Daikin Industries Ltd,
1445465,PPRUY,Kering,
1450468,MRAAY,"Murata Manufacturing Co., Ltd./ADR",
936958,MDY,SPDR S&P MIDCAP 400 ETF TRUST,
1131345,NVZMY,NOVOZYMES AS/FI,
1446596,FANUY,Fanuc Ltd,
1461748,PPERY,PT Bank Mandiri (Persero) Tbk / ADR,
1446705,NTDTY,NTT Data Corp,
1671750,DSCSY,Disco Corporation/ADR,
1436778,SAXPY,Sampo OYJ,
1446437,YAHOY,Yahoo! Japan Corp,
800365,FUJIY,FUJI PHOTO FILM CO LTD /FI,
1093028,EJPRY,EAST JAPAN RAILWAY CO /FI,
1069347,SGSOY,SGS SOCIETE GENERALE DE SURVEILLANCE HOLDING SA /FI,
1449566,WLMIY,Wilmar International Ltd,
1287750,ARCC,ARES CAPITAL CORP,
1690981,NNGRY,NN Group NV/ADR,
1475011,JBAXY,Julius Baer Group Ltd.,
1294591,RKUNY,"Rakuten Group, Inc.",
1450346,POAHY,Porsche Automobil Holding SE / ADR,
1468608,VDMCY,Vodacom Group Ltd / ADR,
1446444,TKHVY,Turk Hava Yollari A.O.,
1600520,JPXGY,"Japan Exchange Group, Inc./ADR",
1567526,IHICY,IHI Corporation/ADR,
1437774,BZZUY,BUZZI UNICEM S.p.A.,
1438654,RDEIY,Red Electrica Corporacion SA/ADR,
1504122,PTBRY,PT Bank Negara Indonesia (Persero) Tbk/ADR,
1436786,OUKPY,Outotec OYJ,
1380365,IDKOY,"IDEMITSU KOSAN CO., LTD",
871464,HNGKY,HONGKONG LAND HOLDINGS LTD /FI,
1446656,KIKOY,Kikkoman Corp,
1078642,CRRFY,CARREFOUR SA,
1440130,UUGRY,United Utilities Group plc,
1581285,BCUCY,Brunello Cucinelli S.p.A./ADR,
1541309,CSXXY,carsales.com Limited/ADR,
1655888,OBDC,Blue Owl Capital Corp,
1736035,BXSL,Blackstone Secured Lending Fund,
